CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
72.2,10.29,1423.0,1.8423333333333334,7282.3386666666665
73.0,10.47,1434.8,1.846,7300.281
73.7,10.94,1446.6,1.8496666666666668,7306.365666666667
74.4,11.43,1454.1,1.8533333333333333,7312.450333333333
75.2,13.77,1460.4,1.857,7318.535
76.0,13.18,1465.9,1.861,7326.209
76.9,13.78,1473.7,1.865,7333.883
78.0,13.82,1482.7,1.869,7341.557
79.0,14.13,1494.6,1.8616666666666666,7291.134333333333
80.1,17.19,1499.8,1.8543333333333334,7240.711666666666
80.9,17.61,1502.2,1.847,7190.289
81.7,10.98,1512.3,1.8416666666666666,7187.440333333333
82.5,9.47,1529.2,1.8363333333333334,7184.591666666667
82.6,9.03,1545.5,1.831,7181.743
83.2,9.61,1561.5,1.8453333333333333,7226.3876666666665
83.9,10.87,1574.0,1.8596666666666668,7271.032333333334
84.7,12.81,1584.8,1.874,7315.677
85.6,15.85,1595.8,1.8920000000000001,7363.458666666666
86.4,18.9,1599.8,1.91,7411.240333333333
87.2,19.08,1606.9,1.928,7459.022
88.0,15.93,1618.7,1.9186666666666665,7440.596333333333
88.6,14.7,1636.6,1.9093333333333333,7422.170666666667
89.1,15.72,1659.2,1.9,7403.745
89.7,18.52,1664.2,1.9083333333333332,7433.298333333333
90.5,19.1,1670.3,1.9166666666666667,7462.8516666666665
91.5,19.04,1681.9,1.925,7492.405
92.2,17.82,1694.3,1.9126666666666667,7465.192666666667
93.1,15.87,1706.0,1.9003333333333332,7437.980333333333
93.4,15.08,1721.8,1.888,7410.768
93.8,13.31,1736.1,1.8726666666666667,7372.389
94.1,12.37,1755.5,1.8573333333333333,7334.01
94.4,13.22,1770.4,1.842,7295.631
94.7,14.78,1774.5,1.84,7306.724666666667
94.7,14.68,1786.5,1.838,7317.818333333334
95.0,14.94,1803.9,1.836,7328.912
95.9,14.45,1815.4,1.8323333333333334,7319.573333333334
97.0,14.15,1826.0,1.8286666666666667,7310.234666666666
97.5,12.59,1831.5,1.825,7300.896
97.7,10.12,1845.2,1.818,7301.8696666666665
97.7,10.31,1858.4,1.811,7302.843333333333
98.1,9.71,1869.7,1.804,7303.817
98.0,9.2,1883.7,1.7843333333333333,7335.9
97.7,8.95,1905.9,1.7646666666666668,7367.983
97.9,8.68,1959.4,1.745,7400.066
98.0,8.51,1996.8,1.7476666666666667,7456.196
98.1,8.77,2015.2,1.7503333333333333,7512.326
98.8,8.8,2028.6,1.753,7568.456
99.2,8.63,2043.1,1.7616666666666665,7618.886
99.4,8.98,2053.5,1.7703333333333333,7669.316
99.8,9.37,2064.8,1.779,7719.746
100.1,9.56,2074.0,1.785,7773.428666666667
100.4,9.45,2083.2,1.791,7827.111333333333
100.8,9.48,2099.2,1.797,7880.794
101.1,9.34,2112.3,1.802,7932.1449999999995
101.4,9.47,2123.5,1.807,7983.496
102.1,9.56,2138.2,1.812,8034.847
102.6,9.59,2158.2,1.8146666666666667,8081.1213333333335
102.9,9.91,2175.2,1.8173333333333335,8127.395666666666
103.3,10.29,2191.7,1.82,8173.67
103.5,10.32,2204.1,1.823,8199.935
103.7,11.06,2215.1,1.826,8226.2
104.1,11.23,2223.5,1.829,8252.465
104.4,11.64,2230.4,1.8253333333333333,8275.043
104.7,11.3,2244.4,1.8216666666666668,8297.621000000001
105.1,9.99,2258.9,1.818,8320.199
105.3,9.43,2281.4,1.8116666666666668,8347.072666666667
105.5,8.38,2306.4,1.8053333333333332,8373.946333333333
105.7,8.35,2332.4,1.799,8400.82
106.3,8.5,2354.1,1.7976666666666665,8425.475666666667
106.8,8.58,2366.2,1.7963333333333333,8450.131333333333
107.0,8.27,2375.4,1.795,8474.787
107.2,7.97,2389.5,1.795,8517.931333333334
107.5,7.53,2412.6,1.795,8561.075666666666
107.7,7.88,2429.5,1.795,8604.22
107.9,7.9,2444.0,1.794,8625.542666666666
108.1,7.92,2456.4,1.793,8646.865333333333
108.5,7.99,2468.0,1.792,8668.188
109.0,8.05,2477.8,1.792,8695.167666666666
109.5,8.27,2492.1,1.792,8722.147333333334
109.9,8.14,2502.1,1.792,8749.127
109.7,7.86,2512.9,1.7813333333333334,8762.259333333333
109.1,7.48,2533.1,1.7706666666666666,8775.391666666666
108.7,6.99,2557.8,1.76,8788.524
109.0,6.85,2584.8,1.7536666666666667,8816.549666666666
109.4,6.92,2605.0,1.7473333333333334,8844.575333333334
109.5,6.56,2626.6,1.741,8872.601
109.6,6.17,2646.5,1.7343333333333335,8888.465
110.0,5.89,2667.8,1.7276666666666667,8904.329
110.2,5.85,2687.4,1.721,8920.193
110.4,6.04,2701.3,1.72,8942.251
110.8,6.91,2728.0,1.719,8964.309
111.4,6.43,2743.9,1.718,8986.367
111.8,6.1,2747.5,1.7233333333333334,9018.663333333334
112.2,6.13,2753.7,1.7286666666666666,9050.959666666666
112.7,6.37,2767.7,1.734,9083.256
113.0,6.85,2772.9,1.7396666666666667,9109.511999999999
113.5,6.73,2774.6,1.7453333333333332,9135.768
113.8,6.58,2779.0,1.751,9162.024
114.3,6.73,2788.2,1.7593333333333332,9214.46
114.7,7.22,2799.5,1.7676666666666667,9266.896
115.0,7.29,2814.8,1.776,9319.332
115.4,6.69,2818.9,1.7733333333333334,9335.388666666668
115.6,6.77,2826.4,1.7706666666666666,9351.445333333333
116.0,6.83,2847.4,1.768,9367.502
116.2,6.58,2870.4,1.77,9408.532666666666
116.5,6.58,2890.7,1.772,9449.563333333334
117.2,6.87,2910.7,1.774,9490.594
117.5,7.09,2926.0,1.7793333333333334,9509.131333333333
118.0,7.51,2938.4,1.7846666666666666,9527.668666666666
118.5,7.75,2947.2,1.79,9546.206
